Expiry,Tenor,Alpha,Rho,Nu,Beta,Sigma
10Y,10Y,0.1640530679647146,-0.4086205611141449,0.5946774103576883,0.004438214614072497,0.2437
10Y,1Y,0.17511412588901357,-0.5373522066487423,0.9978646302867146,9.032896988138623e-10,0.2854
10Y,2Y,0.1903136347809483,-0.5285099216240668,0.9109969228204392,9.92111109724401e-08,0.2928
10Y,3Y,0.2023176493629592,-0.5373421627584539,0.8577398108811568,1.9768719153166357e-06,0.294
10Y,5Y,0.1838777179857315,-0.5000702686936132,0.7068504866014579,2.4289916971181966e-05,0.26739999999999997
1Y,10Y,0.170892950013331,-0.26296441780420077,0.7803465314589529,1.4649273072538365e-07,0.2447
1Y,1Y,0.13906511686040185,-0.6332503303888976,2.0495706219624332,4.278237333184321e-07,0.225
1Y,2Y,0.18464620375330051,-0.52511788565298,1.677430476705958,3.577528973443874e-08,0.2872
1Y,3Y,0.19685139305032173,-0.48284581145116234,1.438129505075442,1.911466953818334e-07,0.2978
1Y,5Y,0.1779618148061671,-0.4139976042385368,1.0657580805335085,6.681603532764481e-07,0.2607
5Y,10Y,0.16990862469268075,-0.3651234699171674,0.5396558283943024,0.0502919724598222,0.2451
5Y,1Y,0.16645262554089138,-0.5847196635629143,1.338930225392456,2.1620522292300527e-07,0.2726
5Y,2Y,0.19875913814588508,-0.5435090878265568,1.0595257490236583,3.7997857909056833e-07,0.2983
5Y,3Y,0.20817136888391868,-0.5406923512082629,0.9341432812137797,2.3595329478283476e-08,0.2998
5Y,5Y,0.1894682783968296,-0.5018392424465393,0.6764096594964772,3.383383142813081e-06,0.266
